City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,2022-11-18 09:42:18,-42.7826,147.0587,56.91,63,65,2.55
1,Clyde River,CA,2022-11-18 09:42:19,70.4692,-68.5914,-1.97,78,100,9.22
2,Mitsamiouli,KM,2022-11-18 09:42:19,-11.3847,43.2844,89.89,48,40,12.66
3,Hailar,CN,2022-11-18 09:42:20,49.2,119.7,25.29,82,100,7.45
4,Albany,US,2022-11-18 09:41:18,42.6001,-73.9662,31.26,83,93,5.99
5,Maldonado,UY,2022-11-18 09:42:20,-34.6667,-54.9167,64.22,71,78,4.97
6,Hillsborough,US,2022-11-18 09:42:21,37.5741,-122.3794,51.3,80,20,8.05
7,Severo-Kurilsk,RU,2022-11-18 09:42:21,50.6789,156.125,33.28,72,87,18.03
8,Touros,BR,2022-11-18 09:42:21,-5.1989,-35.4608,80.98,68,42,13.4
9,Cape Town,ZA,2022-11-18 09:39:19,-33.9258,18.4232,73.11,47,40,8.99
10,Vaini,TO,2022-11-18 09:42:23,-21.2,-175.2,73.56,94,20,3.44
11,Tiksi,RU,2022-11-18 09:42:23,71.6872,128.8694,-8.12,89,100,5.88
12,Upata,VE,2022-11-18 09:42:23,8.0086,-62.3989,72.19,97,98,1.16
13,Nikolskoye,RU,2022-11-18 09:42:24,59.7035,30.7861,28.29,55,3,8.41
14,Kapaa,US,2022-11-18 09:42:24,22.0752,-159.319,75.52,89,0,12.66
15,Busselton,AU,2022-11-18 09:42:25,-33.65,115.3333,56.48,49,63,17.85
16,Vilyuysk,RU,2022-11-18 09:42:25,63.7553,121.6247,-28.68,100,19,2.93
17,Hilo,US,2022-11-18 09:42:26,19.7297,-155.09,75.25,91,100,5.75
18,Armidale,AU,2022-11-18 09:42:26,-30.5167,151.65,48.4,82,9,2.66
19,Narsaq,GL,2022-11-18 09:42:26,60.9167,-46.05,17.82,92,89,6.49
20,Coihaique,CL,2022-11-18 09:42:27,-45.5752,-72.0662,50.61,93,40,6.91
21,Viransehir,TR,2022-11-18 09:42:27,37.2353,39.7631,55.58,69,100,4.36
22,Leirvik,NO,2022-11-18 09:42:28,59.7798,5.5005,44.64,45,0,10.36
23,Invermere,CA,2022-11-18 09:42:28,50.5167,-116.0354,2.35,84,42,1.43
24,Dikson,RU,2022-11-18 09:42:28,73.5069,80.5464,-4.02,92,100,26.78
25,Bredasdorp,ZA,2022-11-18 09:42:29,-34.5322,20.0403,71.29,36,100,14.97
26,Saint-Philippe,RE,2022-11-18 09:42:29,-21.3585,55.7679,80.19,63,15,7.0
27,La Ronge,CA,2022-11-18 09:37:44,55.1001,-105.2842,19.65,58,75,16.11
28,Cherskiy,RU,2022-11-18 09:42:30,68.75,161.3,-30.75,100,89,6.26
29,Rio Rancho,US,2022-11-18 09:42:30,35.2334,-106.6645,30.34,54,0,7.0
30,Geraldton,AU,2022-11-18 09:42:31,-28.7667,114.6,64.81,48,40,19.57
31,Lompoc,US,2022-11-18 09:42:31,34.6391,-120.4579,47.59,97,100,5.75
32,Nabire,ID,2022-11-18 09:42:32,-3.3667,135.4833,78.62,87,96,1.05
33,Novopavlovsk,RU,2022-11-18 09:42:32,43.9622,43.6342,60.21,32,96,6.22
34,Texarkana,US,2022-11-18 09:38:42,33.4251,-94.0477,39.42,72,0,6.91
35,Kalemie,CD,2022-11-18 09:42:32,-5.9475,29.1947,78.69,65,98,6.29
36,Jalu,LY,2022-11-18 09:42:33,29.0331,21.5482,79.56,17,0,15.12
37,Pevek,RU,2022-11-18 09:42:33,69.7008,170.3133,-14.82,98,95,1.61
38,Verkhnevilyuysk,RU,2022-11-18 09:42:34,63.4453,120.3167,-25.01,99,28,3.67
39,Port Alfred,ZA,2022-11-18 09:41:05,-33.5906,26.891,69.19,82,99,1.01
40,Forestville,US,2022-11-18 09:42:34,38.8451,-76.875,35.26,75,0,5.75
41,Tuatapere,NZ,2022-11-18 09:42:35,-46.1333,167.6833,53.08,95,99,2.95
42,Thai Binh,VN,2022-11-18 09:42:35,20.45,106.3333,81.05,74,40,9.31
43,Lindi,TZ,2022-11-18 09:42:36,-10.0,39.7167,88.29,51,97,11.1
44,Tromso,NO,2022-11-18 09:42:36,69.6496,18.957,31.37,93,0,2.3
45,Bluff,NZ,2022-11-18 09:42:36,-46.6,168.3333,53.33,95,86,14.99
46,Fortuna,US,2022-11-18 09:42:37,40.5982,-124.1573,43.72,94,40,3.44
47,Banjar,ID,2022-11-18 09:42:37,-8.19,114.9675,78.28,87,100,3.51
48,Avarua,CK,2022-11-18 09:42:38,-21.2078,-159.775,73.45,94,75,8.05
49,Ushuaia,AR,2022-11-18 09:43:38,-54.8,-68.3,51.46,43,75,11.5
50,Saint-Pierre,RE,2022-11-18 09:43:39,-21.3393,55.4781,80.28,50,0,13.8
51,Palmerston,AU,2022-11-18 09:43:39,-12.486,130.9833,81.9,89,75,4.61
52,Naze,JP,2022-11-18 09:43:40,28.3667,129.4833,70.72,86,98,19.6
53,Hobart,AU,2022-11-18 09:40:25,-42.8794,147.3294,57.25,77,20,8.05
54,Meridian,US,2022-11-18 09:43:40,43.6121,-116.3915,30.51,89,100,9.22
55,Kodiak,US,2022-11-18 09:43:41,57.79,-152.4072,42.31,93,100,6.91
56,Rikitea,PF,2022-11-18 09:43:41,-23.1203,-134.9692,71.8,73,99,12.64
57,Uchaly,RU,2022-11-18 09:43:42,54.2996,59.4521,19.13,94,100,5.12
58,Humberto De Campos,BR,2022-11-18 09:43:43,-2.5983,-43.4611,79.92,74,87,7.09
59,Jamestown,US,2022-11-18 09:43:43,42.097,-79.2353,27.99,83,100,20.71
60,Hermanus,ZA,2022-11-18 09:43:44,-34.4187,19.2345,68.81,54,100,9.06
61,Longyearbyen,SJ,2022-11-18 09:40:27,78.2186,15.6401,28.24,86,75,2.3
62,Yenagoa,NG,2022-11-18 09:43:44,4.9247,6.2642,88.83,58,37,1.88
63,Hambantota,LK,2022-11-18 09:43:44,6.1241,81.1185,88.14,62,40,2.3
64,Lorengau,PG,2022-11-18 09:43:45,-2.0226,147.2712,81.93,76,100,6.42
65,Humaita,BR,2022-11-18 09:43:45,-7.5061,-63.0208,72.97,99,100,1.77
66,Rocha,UY,2022-11-18 09:41:26,-34.4833,-54.3333,64.67,82,79,3.96
67,Pangai,TO,2022-11-18 09:43:46,-19.8,-174.35,78.22,72,85,6.69
68,Pochutla,MX,2022-11-18 09:43:47,15.7432,-96.4661,73.81,83,64,3.76
69,Chara,RU,2022-11-18 09:43:47,56.9064,118.2631,15.51,83,100,1.36
70,Baruun-Urt,MN,2022-11-18 09:43:48,46.6806,113.2792,38.73,47,100,12.3
71,Garachine,PA,2022-11-18 09:43:48,8.0647,-78.3628,76.44,87,99,3.24
72,Maniitsoq,GL,2022-11-18 09:43:48,65.4167,-52.9,21.31,67,97,4.41
73,Esperance,AU,2022-11-18 09:43:49,-33.8667,121.9,56.28,74,71,20.49
74,Luwuk,ID,2022-11-18 09:43:49,-0.9516,122.7875,80.42,84,100,1.88
75,Malanje,AO,2022-11-18 09:43:50,-9.5402,16.341,82.45,45,97,2.37
76,Haapiti,PF,2022-11-18 09:43:50,-17.5667,-149.8667,76.73,82,52,4.92
77,Mataura,NZ,2022-11-18 09:43:51,-46.1927,168.8643,52.34,98,68,3.85
78,Henties Bay,NA,2022-11-18 09:38:58,-22.116,14.2845,64.63,72,96,9.33
79,Cidreira,BR,2022-11-18 09:43:52,-30.1811,-50.2056,68.52,73,16,10.36
80,Sobolevo,RU,2022-11-18 09:43:52,54.4299,31.8996,24.85,64,100,7.29
81,Iwai,JP,2022-11-18 09:43:52,36.05,139.9,64.92,53,20,4.45
82,Hokitika,NZ,2022-11-18 09:43:53,-42.7167,170.9667,58.89,92,100,3.33
83,Jaisalmer,IN,2022-11-18 09:43:53,26.9147,70.9181,84.81,18,0,3.69
84,Ilulissat,GL,2022-11-18 09:43:54,69.2167,-51.1,23.02,80,75,23.02
85,Miri,MY,2022-11-18 09:43:54,4.4148,114.0089,84.34,79,40,8.05
86,Havelock,US,2022-11-18 09:43:54,34.8791,-76.9013,42.93,84,0,5.75
